Method,Dataset,TLB
sfa_equi-width_True,PhalangesOutlinesCorrect,0.4457479536692799
sfa_equi-width_False,PhalangesOutlinesCorrect,0.4376611483775002
sfa_equi-depth_True,PhalangesOutlinesCorrect,0.6331662006512279
sfa_equi-depth_False,PhalangesOutlinesCorrect,0.6234414813360005
isax,Phoneme,0.15695707148250043
sfa_equi-width_True,Phoneme,0.24033551789970456
sfa_equi-width_False,Phoneme,0.13294400888032998
sfa_equi-depth_True,Phoneme,0.24514517070524083
sfa_equi-depth_False,Phoneme,0.12716314309182034
isax,PickupGestureWiimoteZ,0.4717591667788912
sfa_equi-width_True,PickupGestureWiimoteZ,0.6080743034017653
sfa_equi-width_False,PickupGestureWiimoteZ,0.6080743034017653
sfa_equi-depth_True,PickupGestureWiimoteZ,0.6247171931138359
sfa_equi-depth_False,PickupGestureWiimoteZ,0.6247171931138359
isax,PigAirwayPressure,0.6111133467039465
sfa_equi-width_True,PigAirwayPressure,0.6524501167582452
sfa_equi-width_False,PigAirwayPressure,0.6527808710045252
sfa_equi-depth_True,PigAirwayPressure,0.6660903492311357
sfa_equi-depth_False,PigAirwayPressure,0.666172592467309
isax,PigArtPressure,0.20848636202870235
sfa_equi-width_True,PigArtPressure,0.5529237513418344
sfa_equi-width_False,PigArtPressure,0.1438871129198848
sfa_equi-depth_True,PigArtPressure,0.5171570958932825
sfa_equi-depth_False,PigArtPressure,0.1601672616320432
isax,PigCVP,0.44139508716881215
sfa_equi-width_True,PigCVP,0.48589430837923414
sfa_equi-width_False,PigCVP,0.4453252433770548
sfa_equi-depth_True,PigCVP,0.4896667315195257
sfa_equi-depth_False,PigCVP,0.4472047908644659
isax,PLAID,0.3734153658484451
sfa_equi-width_True,PLAID,0.4512602740465251
sfa_equi-width_False,PLAID,0.4486556703385444
sfa_equi-depth_True,PLAID,0.4688542056870443
sfa_equi-depth_False,PLAID,0.4671690450973195
isax,Plane,0.498313579714235
sfa_equi-width_True,Plane,0.6537092889244147
sfa_equi-width_False,Plane,0.6530798210552562
sfa_equi-depth_True,Plane,0.6732561882670126
sfa_equi-depth_False,Plane,0.6732537482467335
isax,PowerCons,0.5236985937149601
sfa_equi-width_True,PowerCons,0.5656063310640258
sfa_equi-width_False,PowerCons,0.5656063310640258
sfa_equi-depth_True,PowerCons,0.5775201158564476
sfa_equi-depth_False,PowerCons,0.5775201158564476
isax,ProximalPhalanxOutlineAgeGroup,0.21212357616014232
sfa_equi-width_True,ProximalPhalanxOutlineAgeGroup,0.5682085194423885
sfa_equi-width_False,ProximalPhalanxOutlineAgeGroup,0.5520948297235029
sfa_equi-depth_True,ProximalPhalanxOutlineAgeGroup,0.6279898402010549
sfa_equi-depth_False,ProximalPhalanxOutlineAgeGroup,0.6122006788999006
isax,ProximalPhalanxOutlineCorrect,0.20118268906602785
sfa_equi-width_True,ProximalPhalanxOutlineCorrect,0.5087494831662956
sfa_equi-width_False,ProximalPhalanxOutlineCorrect,0.4922622008412678
sfa_equi-depth_True,ProximalPhalanxOutlineCorrect,0.6040042874919067
sfa_equi-depth_False,ProximalPhalanxOutlineCorrect,0.5908500003517697
isax,ProximalPhalanxTW,0.20178123579112184
sfa_equi-width_True,ProximalPhalanxTW,0.5698218104040562
sfa_equi-width_False,ProximalPhalanxTW,0.5544011793340771
sfa_equi-depth_True,ProximalPhalanxTW,0.6187376504872846
sfa_equi-depth_False,ProximalPhalanxTW,0.6037317826586841
isax,RefrigerationDevices,0.16331066968178498
sfa_equi-width_True,RefrigerationDevices,0.1864527403720688
sfa_equi-width_False,RefrigerationDevices,0.14442713853122727
sfa_equi-depth_True,RefrigerationDevices,0.17701287334157775
sfa_equi-depth_False,RefrigerationDevices,0.14527905782884365
isax,Rock,0.5330798661211377
sfa_equi-width_True,Rock,0.6342123098123043
sfa_equi-width_False,Rock,0.6385225082298334
sfa_equi-depth_True,Rock,0.6337013283221892
sfa_equi-depth_False,Rock,0.6397978731121083
isax,ScreenType,0.49819688233343723
sfa_equi-width_True,ScreenType,0.5175091740265
sfa_equi-width_False,ScreenType,0.5175091740265
sfa_equi-depth_True,ScreenType,0.5451508281294034
sfa_equi-depth_False,ScreenType,0.5451508281294034
isax,SemgHandGenderCh2,0.12934578665273946
sfa_equi-width_True,SemgHandGenderCh2,0.1989014601948082
sfa_equi-width_False,SemgHandGenderCh2,0.1931998778016195
sfa_equi-depth_True,SemgHandGenderCh2,0.20183703688776344
sfa_equi-depth_False,SemgHandGenderCh2,0.19778397190845817
isax,SemgHandMovementCh2,0.1275414147977854
sfa_equi-width_True,SemgHandMovementCh2,0.19599358466088448
