Method,Dataset,Pruning Power
sfa_equi-width_False,MixedShapesSmallTrain,0.9567010309278351
sfa_equi-width_False,MoteStrain,0.5806709265175719
sfa_equi-width_False,NonInvasiveFetalECGThorax1,0.8340966921119592
sfa_equi-width_False,NonInvasiveFetalECGThorax2,0.9394402035623409
sfa_equi-width_False,OliveOil,0.6
sfa_equi-width_False,OSULeaf,0.9008264462809917
sfa_equi-width_False,PhalangesOutlinesCorrect,0.972027972027972
sfa_equi-width_False,Phoneme,0.0026371308016877636
sfa_equi-width_False,PickupGestureWiimoteZ,1.0
sfa_equi-width_False,PigAirwayPressure,0.9278846153846154
sfa_equi-width_False,PigArtPressure,0.0
sfa_equi-width_False,PigCVP,0.15384615384615385
sfa_equi-width_False,PLAID,0.7579143389199255
sfa_equi-width_False,Plane,0.9904761904761905
sfa_equi-width_False,PowerCons,0.8555555555555555
sfa_equi-width_False,ProximalPhalanxOutlineAgeGroup,0.8585365853658536
sfa_equi-width_False,ProximalPhalanxOutlineCorrect,0.8591065292096219
sfa_equi-width_False,ProximalPhalanxTW,0.8975609756097561
sfa_equi-width_False,RefrigerationDevices,0.005333333333333333
sfa_equi-width_False,Rock,0.86
sfa_equi-width_False,ScreenType,0.49066666666666664
sfa_equi-width_False,SemgHandGenderCh2,0.005
sfa_equi-width_False,SemgHandMovementCh2,0.006666666666666667
sfa_equi-width_False,SemgHandSubjectCh2,0.0022222222222222222
sfa_equi-width_False,ShakeGestureWiimoteZ,0.4
sfa_equi-width_False,ShapeletSim,0.0
sfa_equi-width_False,ShapesAll,0.9716666666666667
sfa_equi-width_False,SmallKitchenAppliances,0.008
sfa_equi-width_False,SonyAIBORobotSurface1,0.5923460898502496
sfa_equi-width_False,SonyAIBORobotSurface2,0.70199370409234
sfa_equi-width_False,StarLightCurves,0.9326129188926664
sfa_equi-width_False,Strawberry,0.9756756756756757
sfa_equi-width_False,SwedishLeaf,0.656
sfa_equi-width_False,Symbols,0.7015075376884422
sfa_equi-width_False,SyntheticControl,0.7833333333333333
sfa_equi-width_False,ToeSegmentation1,0.6885964912280702
sfa_equi-width_False,ToeSegmentation2,0.7153846153846154
sfa_equi-width_False,Trace,0.91
sfa_equi-width_False,TwoLeadECG,0.7348551360842844
sfa_equi-width_False,TwoPatterns,0.896
sfa_equi-width_False,UMD,0.8958333333333334
sfa_equi-width_False,UWaveGestureLibraryAll,0.9307649357900614
sfa_equi-width_False,UWaveGestureLibraryX,0.9489112227805695
sfa_equi-width_False,UWaveGestureLibraryY,0.9195979899497487
sfa_equi-width_False,Wafer,0.8943867618429591
sfa_equi-width_False,Wine,0.9444444444444444
sfa_equi-width_False,WordSynonyms,0.9498432601880877
sfa_equi-width_False,Worms,0.6623376623376623
sfa_equi-width_False,WormsTwoClass,0.6623376623376623
sfa_equi-width_False,Yoga,0.9396666666666667
sfa_equi-depth_True,ArrowHead,0.8285714285714286
sfa_equi-depth_True,Beef,0.9333333333333333
sfa_equi-depth_True,BeetleFly,0.65
sfa_equi-depth_True,BirdChicken,0.9
sfa_equi-depth_True,BME,0.92
sfa_equi-depth_True,Car,0.95
sfa_equi-depth_True,CBF,0.5188888888888888
sfa_equi-depth_True,Chinatown,0.924198250728863
sfa_equi-depth_True,ChlorineConcentration,0.9278645833333333
sfa_equi-depth_True,CinCECGTorso,0.7
sfa_equi-depth_True,Coffee,0.8571428571428571
sfa_equi-depth_True,Computers,0.74
sfa_equi-depth_True,CricketX,0.8333333333333334
sfa_equi-depth_True,CricketY,0.8051282051282052
sfa_equi-depth_True,CricketZ,0.882051282051282
sfa_equi-depth_True,Crop,0.9892261904761904
sfa_equi-depth_True,DiatomSizeReduction,0.8627450980392157
sfa_equi-depth_True,DistalPhalanxOutlineAgeGroup,0.9568345323741008
sfa_equi-depth_True,DistalPhalanxOutlineCorrect,0.9239130434782609
sfa_equi-depth_True,DistalPhalanxTW,0.9496402877697842
sfa_equi-depth_True,DodgerLoopDay,0.6625
sfa_equi-depth_True,DodgerLoopGame,0.028985507246376812
sfa_equi-depth_True,DodgerLoopWeekend,0.10869565217391304
sfa_equi-depth_True,Earthquakes,0.0
sfa_equi-depth_True,ECG200,0.91
sfa_equi-depth_True,ECG5000,0.8237777777777778
sfa_equi-depth_True,ECGFiveDays,0.6875725900116144
sfa_equi-depth_True,EOGHorizontalSignal,0.9779005524861878
